sigma,seed,zeta_gain,lr,noise,final_V,deltaF90,accept_rate
0.5,42,0.25,0.1,0.019999999999999997,0.5305179764357187,182,0.30293159609120524
0.5,42,0.25,0.1,0.03,0.5856625549150283,179,0.31189710610932475
0.5,42,0.25,0.1,0.04,0.6408184100134191,179,0.3089171974522293
0.5,42,0.25,0.12000000000000001,0.019999999999999997,0.5304604864818817,182,0.30293159609120524
0.5,42,0.25,0.12000000000000001,0.03,0.5865102142879237,182,0.3108974358974359
0.5,42,0.25,0.12000000000000001,0.04,0.6408900608568884,179,0.3057324840764331
0.5,42,0.3,0.08,0.019999999999999997,0.5314512026619722,182,0.3042071197411003
0.5,42,0.3,0.08,0.03,0.5927342971154419,182,0.31715210355987056
0.5,42,0.3,0.08,0.04,0.6432310417202813,182,0.3258785942492013
0.5,42,0.3,0.1,0.019999999999999997,0.5314664399088913,182,0.29449838187702265
0.5,42,0.3,0.1,0.03,0.5936361419074588,182,0.2987012987012987
0.5,42,0.3,0.1,0.04,0.6404355581005892,180,0.33440514469453375
0.5,42,0.3,0.12000000000000001,0.019999999999999997,0.531468551085978,182,0.29449838187702265
0.5,42,0.3,0.12000000000000001,0.03,0.5933816851573385,182,0.28205128205128205
0.5,42,0.3,0.12000000000000001,0.04,0.640484492805208,180,0.33440514469453375
0.5,42,0.35,0.08,0.019999999999999997,0.5323676939102643,182,0.35081967213114756
0.5,42,0.35,0.08,0.03,0.5920311207009625,182,0.33766233766233766
0.5,42,0.35,0.08,0.04,0.6487471815094091,180,0.31210191082802546
0.5,42,0.35,0.1,0.019999999999999997,0.532357809385531,182,0.3344262295081967
0.5,42,0.35,0.1,0.03,0.5919978081969742,182,0.3181818181818182
0.5,42,0.35,0.1,0.04,0.648731453793753,180,0.3089171974522293
0.5,42,0.35,0.12000000000000001,0.019999999999999997,0.533643390613988,182,0.3257328990228013
0.5,42,0.35,0.12000000000000001,0.03,0.5919824514606519,182,0.31493506493506496
0.5,42,0.35,0.12000000000000001,0.04,0.6424964333749936,180,0.3514376996805112
0.5,43,0.25,0.08,0.019999999999999997,0.5486743758040621,172,0.3201320132013201
0.5,43,0.25,0.08,0.03,0.6078659400460923,172,0.3114754098360656
0.5,43,0.25,0.08,0.04,0.6722852861084447,178,0.29354838709677417
0.5,43,0.25,0.1,0.019999999999999997,0.5485120317778948,172,0.3201320132013201
0.5,43,0.25,0.1,0.03,0.6129078717093788,177,0.3190789473684211
0.5,43,0.25,0.1,0.04,0.6722894902109811,178,0.2903225806451613
0.5,43,0.25,0.12000000000000001,0.019999999999999997,0.548334122191647,172,0.3201320132013201
0.5,43,0.25,0.12000000000000001,0.03,0.6129015653026824,177,0.3157894736842105
0.5,43,0.25,0.12000000000000001,0.04,0.672292769202482,178,0.29354838709677417
0.5,43,0.3,0.08,0.019999999999999997,0.552177671450269,173,0.3468013468013468
0.5,43,0.3,0.08,0.03,0.6108832286155799,176,0.30293159609120524
0.5,43,0.3,0.08,0.04,0.6749564761120898,178,0.29449838187702265
0.5,43,0.3,0.1,0.019999999999999997,0.5520796232071012,173,0.3468013468013468
0.5,43,0.3,0.1,0.03,0.6108303407611209,176,0.29449838187702265
0.5,43,0.3,0.1,0.04,0.6699906904380274,177,0.3076923076923077
0.5,43,0.3,0.12000000000000001,0.019999999999999997,0.5498793203519876,173,0.3289036544850498
0.5,43,0.3,0.12000000000000001,0.03,0.6107363069309802,176,0.29449838187702265
0.5,43,0.3,0.12000000000000001,0.04,0.6723730706310757,182,0.2861736334405145
0.5,43,0.35,0.08,0.019999999999999997,0.5531394488563699,176,0.3289036544850498
0.5,43,0.35,0.08,0.03,0.6134180142788466,176,0.2903225806451613
0.5,43,0.35,0.08,0.04,0.6735469747157831,177,0.3086816720257235
0.5,43,0.35,0.1,0.019999999999999997,0.553466829851027,177,0.3333333333333333
0.5,43,0.35,0.1,0.03,0.613396063853027,176,0.2903225806451613
0.5,43,0.35,0.1,0.04,0.6734918995426528,177,0.3022508038585209
