sigma,zeta_gain,seed,lr,noise,final_V,deltaF90,accept_rate
0.6,0.7,41,0.12,0.02,0.584581311035709,169,0.6118421052631579
0.6,0.7,41,0.12,0.03,0.6331151803169716,166,0.6045016077170418
0.6,0.7,41,0.15,0.02,0.585452220265299,169,0.6118421052631579
0.6,0.7,41,0.15,0.03,0.6340856745336806,166,0.6045016077170418
0.6,0.7,42,0.1,0.02,0.5955076594568225,170,0.5946843853820598
0.6,0.7,42,0.1,0.03,0.6686396322879374,170,0.5967741935483871
0.6,0.7,42,0.12,0.02,0.5965650618085919,170,0.5946843853820598
0.6,0.7,42,0.12,0.03,0.6696482192131317,170,0.5903225806451613
0.6,0.7,42,0.15,0.02,0.5980808221820284,173,0.5946843853820598
0.6,0.7,42,0.15,0.03,0.6710343292695466,170,0.5806451612903226
0.6,0.7,43,0.1,0.02,0.6061535309106356,165,0.6245847176079734
0.6,0.7,43,0.1,0.03,0.6812313689311065,165,0.6233766233766234
0.6,0.7,43,0.12,0.02,0.6072885087064009,165,0.6245847176079734
0.6,0.7,43,0.12,0.03,0.6821810944671861,165,0.6233766233766234
0.6,0.7,43,0.15,0.02,0.6089274236764534,165,0.6245847176079734
0.6,0.7,43,0.15,0.03,0.6804232054909164,165,0.6274509803921569
0.65,0.3,41,0.1,0.02,0.5455488666439877,180,0.2698412698412698
0.65,0.3,41,0.1,0.03,0.590415021581674,179,0.25391849529780564
0.65,0.3,41,0.12,0.02,0.5463385960640265,180,0.26582278481012656
0.65,0.3,41,0.12,0.03,0.5903308434192476,179,0.25391849529780564
0.65,0.3,41,0.15,0.02,0.5461038302598507,180,0.26582278481012656
0.65,0.3,41,0.15,0.03,0.5941385100118926,179,0.2554517133956386
0.65,0.3,42,0.1,0.02,0.540643290428718,173,0.28938906752411575
0.65,0.3,42,0.1,0.03,0.6032155858641197,173,0.3280757097791798
0.65,0.3,42,0.12,0.02,0.5402730187717244,173,0.27388535031847133
0.65,0.3,42,0.12,0.03,0.6032081445603011,173,0.2870662460567823
0.65,0.3,42,0.15,0.02,0.5403540523719118,173,0.273015873015873
0.65,0.3,42,0.15,0.03,0.6031785987704005,173,0.26813880126182965
0.65,0.3,43,0.1,0.02,0.5579489319268297,177,0.32450331125827814
0.65,0.3,43,0.1,0.03,0.6173070280368738,183,0.2987012987012987
0.65,0.3,43,0.12,0.02,0.5584941817785746,178,0.3201320132013201
0.65,0.3,43,0.12,0.03,0.617396586715702,183,0.2987012987012987
0.65,0.3,43,0.15,0.02,0.558076234722691,178,0.32450331125827814
0.65,0.3,43,0.15,0.03,0.6175065973655741,183,0.2987012987012987
0.65,0.5,41,0.1,0.02,0.5567667383247855,180,0.28753993610223644
0.65,0.5,41,0.1,0.03,0.6184126053818132,179,0.370253164556962
0.65,0.5,41,0.12,0.02,0.5567435368987307,180,0.3022508038585209
0.65,0.5,41,0.12,0.03,0.6161443907786252,179,0.37261146496815284
0.65,0.5,41,0.15,0.02,0.5565438816376288,179,0.2958199356913183
0.65,0.5,41,0.15,0.03,0.61654916246557,179,0.3523809523809524
0.65,0.5,42,0.1,0.02,0.5498787018868156,173,0.2698412698412698
0.65,0.5,42,0.1,0.03,0.6085885461029176,169,0.30990415335463256
0.65,0.5,42,0.12,0.02,0.5497809022458698,173,0.2698412698412698
0.65,0.5,42,0.12,0.03,0.6085605813570195,169,0.30670926517571884
